,Location,State,Time,Summary Description,Primary Activity,Primary Travel Mode,Location Setting,Caught,"Partially Buried, Non-Critical","Partially Buried, Critical",Fully Buried,Injured,Killed,Type,Trigger,Trigger (subcode),Size - Relative to Path,Size - Destructive Force,Sliding Surface,Slope Aspect,Site Elevation,Slope Angle,Slope Characteristic
17,"Knox Creek, Salmon la Sac area, near Cle Elum Lake",Washington,"
11:00 AM
(Estimated)","2 snowbikers caught, 1 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,HS,AV - Vehicle (specify vehicle type in comments),u - An unintentional release,R3,D3,O - Within Old Snow,NE,4750 ft,30 °,--
18,"Wilson Glade, Mill Creek Canyon",Utah,"
11:30 AM
(Estimated)","7 backcountry tourers caught, 1 partially buried, 2 buried, 4 buried and killed",Backcountry Tourer,Ski,Backcountry,4,0,0,4,0,4,HS,AS - Skier,u - An unintentional release,R4,D2.5,--,N,9600 ft,31 °,--
19,"Wounded Buck Creek, northwest of Wildcat Lake",Montana,"
1:00 PM
(Estimated)","5 snowmobilers caught, 1 partially buried-critical and killed",Snowmobiler,Snowmobile,Backcountry,5,3,1,0,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2.5,O - Within Old Snow,N,6300 ft,35 °,Sparse Trees
20,"Marvin’s West, East Vail backcountry southeast of Vail",Colorado,"
11:10 AM
(Estimated)","2 sidecountry skiers caught, 1 buried and killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,2,1,0,1,0,1,SS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,E,11450 ft,38 °,Planar Slope
21,"Etna Summit, west of Etna",California,"
2:00 PM
(Estimated)","2 backcountry tourers caught, 1 partially buried, 1 buried and killed",Backcountry Tourer,Ski,--,2,1,0,1,0,1,HS,AS - Skier,u - An unintentional release,R2,D2,--,NW,6650 ft,39 °,--
22,"Bear Mountain, Chugach State Park",Alaska,"
Unknown
","3 climbers caught, buried, and killed",Climber,Foot,Backcountry,3,0,3,0,0,3,HS,--,--,--,--,--,--,--,--,--
23,"The Nose, Middle Fork Mineral Creek southeast of Ophir",Colorado,"
3:20 PM
(Estimated)","4 backcountry tourers caught, 1 partially buried-critical, 3 buried and killed",Backcountry Tourer,Ski,Backcountry,4,0,1,3,1,3,SS,AS - Skier,u - An unintentional release,R3,D2.5,O - Within Old Snow,NE,12130 ft,40 °,Planar Slope
24,"Ammonoosuc Ravine, north of Mount Monroe",New Hampshire,,"1 backcountry skier caught, buried, and killed",Backcountry Tourer,Ski,--,1,0,0,1,0,1,--,--,--,--,--,--,--,--,--,--
25,"Squaretop, Park City Ridgeline",Utah,"
Unknown
","1 sidecountry skier caught, buried, and killed",Sidecountry Rider,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R1,D2,O - Within Old Snow,NE,9400 ft,37 °,--
26,"Dutch Draw, Park City Ridgeline",Utah,"
Unknown
","1 sidecountry rider caught, buried, and killed",Sidecountry Rider,Snowboard,Accessed BC from Ski Area,1,0,0,1,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,O - Within Old Snow,E,9800 ft,39 °,--
27,"First Creek, north of Berthoud Pass",Colorado,"
3:00 PM
(Estimated)","1 backcountry skier caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,--,R2,D1.5,G - At Ground/Ice/Firm,N,11050 ft,40 °,"Dense Trees,Gully/Couloir"
28,"North Face of Battleship, southeast of Ophir",Colorado,"
Unknown
","2 backcountry skiers caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,2,0,1,1,0,2,SS,AS - Skier,u - An unintentional release,R2,D2.5,O - Within Old Snow,NW,11155 ft,30 °,Sparse Trees
29,"Near Ohio Pass, Anthracite Range",Colorado,"
12:30 PM
(Estimated)","1 backcountry skier caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,--,R2,D2,O - Within Old Snow,NE,10535 ft,35 °,"Planar Slope,Sparse Trees"
30,"Near Sheep Pass, Salt River Range",Wyoming,"
4:00 PM
(Estimated)","1 snowmobiler caught, buried and killed",Snowmobiler,Snowmobile,Backcountry,1,1,0,0,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D2,O - Within Old Snow,E,9900 ft,35 °,--
31,"Mount Emmons, west of Crested Butte",Colorado,"
10:45 AM
(Estimated)","1 backcountry skier caught, killed",Backcountry Tourer,Ski,Backcountry,1,0,0,0,0,1,WS,AS - Skier,u - An unintentional release,R1,D2,O - Within Old Snow,NE,10300 ft,45 °,"Convex Slope,Sparse Trees,Dense Trees"
32,"Point 12885 near Red Peak, west of Silverthorne",Colorado,"
1:00 PM
","2 backcountry tourers caught and carried, 1 killed",Backcountry Tourer,Ski,Backcountry,2,0,0,0,0,1,SS,AS - Skier,u - An unintentional release,R2,D2,I - New/Old Interface,N,12680 ft,--,Gully/Couloir
33,"Austin Canyon, Snake River Range",Idaho,"
2:30 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D2,I - New/Old Interface,SE,9400 ft,38 °,--
34,"Taylor Mountain, northwest of Teton Pass",Wyoming,"
2:45 PM
(Estimated)","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Snowboard,--,1,0,0,1,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,I - New/Old Interface,S,10100 ft,38 °,--
35,North of Skyline Peak,Idaho,"
1:00 PM
(Estimated)","2 sidecountry riders caught, 1 partially buried, 1 buried and killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,NW,8066 ft,40 °,--
36,Near Hatcher Pass,Alaska,"
12:30 PM
(Estimated)","1 backcountry tourer caught, killed",Backcountry Tourer,Snowboard,,0,,,0,0,1,SS,AR - Snowboarder,u - An unintentional release,--,--,O - Within Old Snow,S,2000 ft,36 °,--
37,Unalaska Island,Alaska,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
38,"South Fork of Dickson Creek, east of Red and White Mountain",Colorado,"
2:45 PM
(Estimated)","3 snowbike riders caught, 1 partially buried, 2 buried and killed",Snowmobiler,Snowmobile,Backcountry,3,1,0,2,0,2,HS,AV - Vehicle (specify vehicle type in comments),u - An unintentional release,R3,D2,O - Within Old Snow,NE,9800 ft,37 °,Sparse Trees
39,"Boulder Creek Drainage, South of Cooper Landing",Alaska,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,HS,AM - Snowmobile,--,--,--,O - Within Old Snow,W,2600 ft,45 °,--
40,Near Blewett Pass,Washington,,"1 resident caught, buried and killed",Resident,Foot,,0,,,1,0,1,R,N -  Natural,--,--,--,--,--,--,--,--
41,"Farmington Canyon, east of Farmington",Utah,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D2,O - Within Old Snow,E,8400 ft,38 °,--
42,"Uncompahgre Gorge, south of Ouray",Colorado,"
10:45 AM
(Estimated)","1 climber struck by falling ice, buried, and killed",Climber,Foot,--,1,0,0,1,0,1,I,N -  Natural,--,R1,D1,G - At Ground/Ice/Firm,SE,8800 ft,--,--
43,"Scott Peak, west of Lake Tahoe",California,"
12:00 AM
(Estimated)","2 inbounds skiers caught, 1 injured, 1 killed",Inbounds Rider,Ski,,0,,,0,1,1,--,--,--,--,--,--,--,--,--,--
44,"Baker Creek drainage, Smoky Mountains",Idaho,"
2:00 PM
(Estimated)","2 snowmobilers caught, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2,O - Within Old Snow,S,9130 ft,34 °,--
45,"Rock Creek, Elkhorn Mountains",Oregon,"
2:30 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2,O - Within Old Snow,E,7832 ft,35 °,Planar Slope
46,"Wardner Peak, Bitterroot Mountains",Idaho,"
11:00 AM
(Estimated)","Multiple skiers caught, 2 partially buried, 5 buried, 3 killed",Inbounds Rider,Ski,Ski Area - open area,8,2,0,5,1,3,SS,AS - Skier,u - An unintentional release,R3,D3,O - Within Old Snow,E,6200 ft,35 °,--
47,"Near Lake Dinah, west of Seeley Lake",Montana,"
2:00 PM
(Estimated)","3 snowmobilers caught, 2 buried and killed, 1 partially buried",Snowmobiler,Snowmobile,Backcountry,3,1,0,2,0,2,SS,AM - Snowmobile,u - An unintentional release,R3,D2.5,O - Within Old Snow,E,6740 ft,35 °,--
48,"Dutch Draw, Park City Ridgeline",Utah,"
10:50 AM
(Estimated)","1 sidecountry rider caught, buried, and killed",Sidecountry Rider,Snowboard,Backcountry,1,0,1,0,0,1,SS,AR - Snowboarder,u - An unintentional release,R1,D2,Unknown,E,9700 ft,40 °,--
49,"Diamond Peaks, west of Cameron Pass",Colorado,"
1:15 PM
(Estimated)","1 backcountry skier, caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,HS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,NE,11420 ft,36 °,"Sparse Trees,Gully/Couloir"
50,"Lutak Inlet, north of Haines",Alaska,"
12:30 PM
","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Snowboard,Backcountry,1,0,0,1,0,1,HS,AS - Skier,u - An unintentional release,R4,D3,O - Within Old Snow,NW,2270 ft,40 °,--
51,Casper,Wyoming,"
2:45 PM
(Estimated)","1 resident caught, buried, and killed",Resident,Foot,Town/Settlement,1,0,0,1,0,1,R,--,--,--,--,--,--,--,--,--
52,Crested Butte South,Colorado,"
12:00 AM
(Estimated)","2 residents caught and buried, 1 killed",Resident,Foot,,0,,,2,0,1,R,AF - Foot penetration,u - An unintentional release,--,--,--,--,--,--,--
53,"Near Crescent Lake, Kenai Peninsula",Alaska,"
3:25 PM
(Estimated)","2 backcountry tourers caught, 1 buried and killed",Backcountry Tourer,Ski,Backcountry,2,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R3,D2.5,O - Within Old Snow,NW,2500 ft,35 °,--
54,"Point 12118, east of Jones Pass",Colorado,"
1:53 PM
","1 mechanized guide caught, buried, and killed; 1 mechanized guide client caught",Mechanised Guide,Ski,Backcountry,2,0,0,1,0,1,HS,N -  Natural,--,R4,D3.5,G - At Ground/Ice/Firm,E,12000 ft,38 °,Planar Slope
55,"Breccia Cliffs, northwest of Togwotee Pass",Wyoming,"
2:30 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Backcountry Tourer,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R3,D2.5,O - Within Old Snow,W,9950 ft,38 °,--
56,"Base Camp above Matterhorn Nordic trailhead, northeast of Lizard Head Pass",Colorado,"
Unknown
","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R1,D2,I - New/Old Interface,S,11250 ft,--,Planar Slope
57,"Truman Gulch, Bridger Range",Montana,,"1 skier caught, partially buried-critical, and killed",Backcountry Tourer,Ski,Backcountry,1,0,1,0,0,1,HS,AS - Skier,u - An unintentional release,R3,D3,O - Within Old Snow,W,8400 ft,--,--
58,"Temptation avalanche path, Bear Creek, south of Telluride",Colorado,"
10:15 AM
(Estimated)","1 sidecountry rider caught, 1 backcountry skier caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,O - Within Old Snow,E,11800 ft,35 °,Gully/Couloir
59,"Pearl Pass Road, Brush Creek Drainage",Colorado,"
8:49 AM
(Estimated)","2 backcountry tourers caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,2,0,0,2,0,2,SS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,SE,9350 ft,37 °,Planar Slope
60,"Humpy Peak, western Uinta Mountains",Utah,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,HS,AM - Snowmobile,u - An unintentional release,--,D3,O - Within Old Snow,W,--,--,--
61,"Circleville Mountain, Tushar Mountains",Utah,"
Unknown
","2 snowmobilers caught, 1 partially buried-critical, 1 buried and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,HS,--,--,--,D2,O - Within Old Snow,E,11000 ft,--,--
62,"Near Bell Lake, Tobacco Root Mountains",Montana,"
1:15 PM
","4 backcountry tourers caught, 1 injured, 1 killed",Backcountry Tourer,Ski,--,4,2,0,0,1,1,SS,AS - Skier,u - An unintentional release,R4,D3,O - Within Old Snow,E,9000 ft,40 °,--
63,"Upper Palisades Lake, Snake River Range",Idaho,"
4:15 PM
(Estimated)","4 snowmobilers caught, 3 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,4,2,1,1,0,1,SS,--,--,--,D2,--,S,9050 ft,--,--
64,"East Face Laurel Peak, La Sal Mountains",Utah,"
4:30 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,--,--,O - Within Old Snow,E,12200 ft,35 °,--
65,"Green Mountain, Express Creek",Colorado,"
10:15 AM
(Estimated)","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R3,D2.5,O - Within Old Snow,NE,11150 ft,35 °,"Convex Slope,Ridgeline,Sparse Trees"
66,"Electric Lake, Manti Skyline",Utah,"
Unknown
","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Ski,,0,,,1,0,1,--,AS - Skier,u - An unintentional release,--,--,--,NE,9400 ft,--,--
67,Taos Ski Valley,New Mexico,"
11:45 AM
(Estimated)","2 inbounds riders caught, buried, and killed",Inbounds Rider,Ski,,0,,,2,0,2,--,--,--,--,--,--,--,--,--,--
68,"Mount Leidy, southwest of Togwotee Pass",Wyoming,"
3:00 PM
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D2,O - Within Old Snow,E,9500 ft,36 °,--
69,"Upper Senator Beck Basin, northwest of Red Mountain Pass",Colorado,"
2:41 PM
(Estimated)","6 backcountry tourers caught, 1 partially buried, 1 buried and killed",Backcountry Tourer,Ski,Backcountry,6,1,0,1,0,1,HS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,S,13000 ft,32 °,Planar Slope
70,"South Waldron Creek, north of Teton Peak",Montana,"
3:42 PM
","2 snowmobilers caught, 1 carried and injured, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,0,0,1,1,1,HS,AM - Snowmobile,u - An unintentional release,R4,D3,O - Within Old Snow,E,7850 ft,37 °,"Convex Slope,Sparse Trees"
71,"Horse Creek, Wyoming Range",Wyoming,"
10:00 AM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,--,R1,D1.5,--,NE,8950 ft,--,--
72,"Upper Blackstone Glacier, south of Whittier",Alaska,"
12:00 AM
","3 snowmobilers caught, 2 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,3,2,0,1,0,1,HS,AM - Snowmobile,r - A remote avalanche released by the indicated trigger,R3,D2.5,S - Within Storm Snow,NE,5000 ft,--,--
73,"Northwest of East Leidy Mountain, west of Togwotee Pass",Wyoming,"
3:30 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,WS,AM - Snowmobile,--,R2,D2,--,E,9030 ft,38 °,--
74,"Saddle Peak, Bridger Range",Montana,"
11:00 AM
(Estimated)","1 sidecountry rider caught, partially buried-critical, and killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,1,0,1,0,0,1,SS,AS - Skier,u - An unintentional release,R3,D2,I - New/Old Interface,--,9019 ft,--,--
75,"Northwest of Glacier Peak, Middle Fork Swan River",Colorado,"
11:00 AM
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R3,D2.5,O - Within Old Snow,N,11830 ft,38 °,Convex Slope
76,"Maroon Bowl, west of Aspen Highlands",Colorado,"
2:22 PM
","2 sidecountry riders caught, 1 killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,2,0,0,0,1,1,SS,AS - Skier,u - An unintentional release,R2,D2,Unknown,N,11375 ft,38 °,"Concave Slope,Sparse Trees"
77,"Park Butte, south of Mount Baker",Washington,"
Unknown
","1 snowmobiler caught, killed",Snowmobiler,Snowmobile,,1,,,0,0,1,--,--,--,--,--,--,--,--,--,--
78,"Setting Sun Mountain, north of the Methow Valley",Washington,"
1:15 PM
(Estimated)","1 backcountry caught, partially buried-critical, and killed",Backcountry Tourer,Ski,Backcountry,1,0,1,0,0,1,HS,AR - Snowboarder,--,R4,D2.5,O - Within Old Snow,NW,6900 ft,35 °,--
79,Near Kirkwood Ski Resort,California,"
12:00 AM
(Estimated)",2 residents killed in roof avalanche,Resident,Ski,,0,,,0,0,2,R,--,--,--,--,--,--,--,--,--
80,"North Fork Teanaway, north of Cle Elum",Washington,"
1:30 PM
(Estimated)","4 snowmobilers caught, 1 injured, 2 killed",Snowmobiler,Snowmobile,,0,,,0,2,2,--,--,--,--,--,--,--,--,--,--
81,Stampede Pass,Washington,"
Unknown
","4 snowmobilers caught, 1 buried and killed, 2 injured",Snowmobiler,Snowmobile,,0,,,2,2,1,--,--,--,--,--,--,--,--,--,--
82,Snoqualmie Pass,Washington,"
Unknown
",2 hikers killed,Hiker,Snowshoe,,0,,,0,0,2,--,--,--,--,--,--,--,--,--,--
83,"Dude Mountain, north of Ketchikan",Alaska,"
12:15 PM
(Estimated)","1 backcountry tourers caught, 1 buried and killed",Backcountry Tourer,Snowboard,,1,,,1,0,1,--,--,--,--,--,--,--,--,--,--
84,"Sheep Creek, west of Palisades",Idaho,"
12:00 AM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,HS,AM - Snowmobile,--,R4,D3,--,E,8967 ft,38 °,--
85,"Ralph's Slide, Upper Rock Springs Canyon near Wilson",Wyoming,"
12:00 AM
(Estimated)",1 skier caught and killed,Sidecountry Rider,Ski,,0,,,0,0,1,SS,AS - Skier,u - An unintentional release,--,D2,O - Within Old Snow,S,9927 ft,--,--
86,"Canyon Creek, Whitefish Range",Montana,"
Unknown
","1 sidecountry rider caught, buried, and killed",Sidecountry Rider,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,--,--,--,I - New/Old Interface,NE,5830 ft,39 °,--
87,"South of Red Mountain Pass, Sam's Trees",Colorado,"
12:00 AM
","2 backcountry skiers caught and partially buried, 1 killed",Backcountry Tourer,Ski,Backcountry,2,1,1,0,0,1,SS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,NE,11092 ft,38 °,Convex Slope
88,"Southeast of Reas Peak, Centennial Range",Idaho,"
2:00 PM
(Estimated)","1 snowbiker caught, buried, and killed",Snowmobiler,Snowmobile,--,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D2,--,E,7750 ft,35 °,Gully/Couloir
89,"Northwest of Reas Peak, Centennial Range",Idaho,"
Unknown
",1 snowmobiler killed,Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R1,D2,I - New/Old Interface,SW,8700 ft,36 °,--
90,"Cabin Creek, southern Madison Range",Montana,"
4:05 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R4,D2,O - Within Old Snow,SW,8800 ft,38 °,Gully/Couloir
91,"Commissary Ridge, Salt River Range",Wyoming,"
1:00 PM
(Estimated)","3 snowmobilers caught, 2 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,3,2,0,1,0,1,SS,AM - Snowmobile,--,R3,D2.5,O - Within Old Snow,E,9760 ft,37 °,--
92,"Marmot Mountain, Hatcher Pass",Alaska,"
2:00 PM
(Estimated)","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,HS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,SW,3600 ft,34 °,"Convex Slope,Gully/Couloir"
93,"Imp Peak, southern Madison Range",Montana,"
Unknown
","2 backcountry tourers caught, 1 partially buried, 1 buried and killed",Backcountry Tourer,Ski,Backcountry,2,1,0,1,0,1,HS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,N,10008 ft,42 °,--
94,"Red Mountain, north of Snoqualmie Pass",Washington,"
Unknown
","1 backcountry tourer caught, killed.",Backcountry Tourer,Foot,,0,,,0,0,1,--,--,--,--,--,--,--,--,--,--
95,North Pole,Alaska,"
1:30 PM
(Estimated)","1 resident partially buried-critical, later died",Resident,Foot,Town/Settlement,1,0,1,0,0,1,R,N -  Natural,--,--,--,--,--,--,--,--
96,"Hawkins Mountain, north of Cle Elum",Washington,"
Unknown
","2 snowmobilers caught, 1 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,,1,,,1,0,1,--,--,--,--,--,--,--,--,--,--
97,"Near West Lost Lake, Flat Tops Wilderness area",Colorado,"
10:05 AM
(Estimated)","2 snow bike riders caught, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,HS,AV - Vehicle (specify vehicle type in comments),u - An unintentional release,R3,D2,O - Within Old Snow,NE,10460 ft,33 °,Sparse Trees
98,"McCoy Creek, Caribou Range east of Idaho Falls",Idaho,"
11:40 AM
(Estimated)",1 snowmobiler buried and killed,Snowmobiler,Snowmobile,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
99,"Near Cooper Landing, Kenai Peninsula",Alaska,"
2:00 PM
(Estimated)","2 snowmobilers caught, 1 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,HS,AM - Snowmobile,r - A remote avalanche released by the indicated trigger,R4,D3,O - Within Old Snow,NW,3000 ft,40 °,--
100,"Mt. Stanton, north of West Glacier",Montana,"
2:00 PM
(Estimated)","1 backcountry tourer caught, partially buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,0,0,1,SS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,SW,7200 ft,35 °,--
